OBSRVTN_NB,DATETIME_DTM,PNT_NM,QUALIFIER_TXT,PNT_ATRISKNOTES_TX,PNT_ATRISKFOLWUPNTS_TX
213377,2/17/2022 12:30,Correct work area traffic control,Appropriate signs out,"The [NAME] was provided some coaching for not having signs on the cross street, as the [NAME] working close to an intersection, and there was no warning for cars turning onto the street with the work zone. The [NAME] moved a sign, but was advised to talk to management about getting two more [NAME] Ahead signs to have for this set up situation.",
257116,7/7/2022 15:14,Equipment Operations,Other - Equipment - Motion,[NAME] member was driving without a seatbelt on the ROW. Spoke to their safety supervisor and he corrected the employee.,
31740,8/3/2020 7:28,PPE,Hard hat adequate,"LMA got out of truck without hard had on, there were a crane loading scrap wood and another crew loading poles in the vicinity.",
58914,10/7/2020 9:00,Personal Safety,Ascending/Descending using 3 point contact,Individual climbed into bucket with one hand full. 3 points of contact not used. Specifically covered in SJO.,
83755,3/5/2021 10:45,PPE,Hard hat adequate,"Three of the four [NAME] members were not wearing hard hats. The [NAME] Lead was provided some coaching on this, and agreed that they should have had hard hats on, while completing the task they were working on.",
496094,9/19/2024 13:00,Rigging Equipment,Rigging protected from sharp edges,[NAME] was using sling to secure dolly to pull cable in trenwa. Sling was wrapped around excavator bucket with rough edges. Recommend contractor use approved rigging practices to protect sling from damage.,
435990,2/13/2024 11:11,PPE - Workforce,AEP Required (Standard),"[NAME] member was observed working without safety glasses. I spoke to and coached the team member about the importance of proper PPE. The matter was corrected. PPE Required [NAME] - T & C 8. 1. 1, 8. 1. 3, 8. 1. 6, 8. 3. 1 ( [NAME] Protection )",
283550,9/28/2022 20:31,Defensive driving,Other - Defensive driving,driver was not comfortable driving a 1500 dodge pickup. i could sense that they were at ease driving this vehicle by the body signs and tension in the arms. i asked before and during the driving session of their comfort level. after completing drive i spoke about bring this issue up to their supervision if they ever had to drive a company vehicle.,
480032,7/22/2024 11:20,Complete job briefing given,Job briefing conducted and documented,Job briefing communicated verbally but not documented. Discussed with Briar. [NAME] had paper tailboards in truck. Did not use. Coached and will use moving forward when working in pairs.,
446181,3/20/2024 10:01,Pre-Job Briefing,"Energy-source controls identified, Special precautions identified",[NAME] was using crane to set rebar cage. They didnt have inspect or check rigging on the THA or JB. The suspended load icon wasnt marked on the JB either. Talked with the supervisor on the importance of capturing that information on the JB,
352420,5/18/2023 9:13,Equipment Operations,"Safety devices in use (seat belts, back-up alarm, cameras, horn, mirrors, lights, etc.)",Operator was running equipment without use of his seatbelt. I stopped him and reminded him to wear seatbelts during operations. [NAME] made correction immediately.,
367850,6/29/2023 13:45,Suspended Load/Overhead Work,"Equipment rated for the suspended load, Other - Suspended Load/Overhead Work",Observed [NAME] mechanic changing tire on site truck. The truck was being lifted by the crane boom from the service truck attached to the reese hitch of the truck. The hitch is not a certified lifting point for the truck. The work was also being done without having any jack stands or cribbing under the truck while the tire was being changed.,Me and Onsite safety had a discussion with the mechanic talking about working under suspended loads and proper lifting points and alternative ways to complete this task in the future
187287,11/3/2021 13:08,Complete job briefing given (Forestry),"All members of team present, Other / Job Briefing, Work procedures reviewed","[NAME] of second crew never signed JB. JEL never discussed or documented. Entry location to ROW was never marked, [NAME] cone was leading visitors to the steepest and most hazardous location to enter ROW.",
264287,8/2/2022 9:23,PPE (Forestry),"Hearing protection adequate, Safety glasses adequate",member of crew working without safety glasses. starting saw by multiply members without hearing protection.,
417781,11/29/2023 9:15,Personal Safety,Line of fire,I did coach with LCS on LOF around bottom of pole as one employee had started working at the base of the pole while lineman in bucket was above.,
142851,11/14/2019 8:00,PPE,Chaps adequate,"Employee was climbing the pole and planning to use a chainsaw. The question was asked is it ok to use the saw without chaps while climbing working off of the pole. There is not language around this practice, so we chose to wear the chaps.",
373042,7/18/2023 10:00,Work Safety Health Plan (WSHP),Other - Work Safety Health Plan (WSHP) readily available,WSHP provided by [NAME] River Electrical did not have the correct contact information for AEP personnel.,
41512,7/1/2020 9:39,Cover up activities,Adequate amount of cover up used,I noticed that they should be covering up a iron cross that they were working near. i told them about the area that should be covered up and they made the necessary adjustments,
483477,7/29/2024 11:30,Proper grounding utilized,"Expiration date, Labels at both ends",I did observe a ground in use that didn't have the proper label attached for testing. I did make them aware of the condition.,
411838,11/6/2023 13:30,Fall protection used when required (Forestry),Worn correctly,"Climber Amiot had to regularly adjust and tighten his harness while aloft on the ladder, we discussed fixing this properly while not aloft and got a commitment to doing so.",
42073,7/2/2020 10:00,Tree Felling - Job Briefing,"Was the job briefing site specific?, Were hazards identified?",The job briefing consisted of to many job steps which didnt allow for the crew to capture all of the hazards associated with each process of the work task. Spoke with foreman about adding an additional job briefing when necessary to ensure that they capture all of the associated hazards.,
4907,3/26/2019 10:45,Appropriate work area traffic control (Forestry),Appropriate number of signs out,[NAME] crew as out with Dakotah's crews and niether crew had a sign out west of the crew but no sign on the east side of the crew to let people know coming around the corner that the crews were there blocking a lane of the road. This was fixed after I informed [NAME] that another sign was needed.,
249731,6/16/2022 9:52,Correct work area traffic control,Cones compliant,[NAME] was parked in middle of several trucks. [NAME] had his strobe lights on. Didn't have any cones out.,
473651,6/19/2024 10:15,PPE,Other - PPE,"Hi - vis was not being worn by crew members as they worked on / along [NAME] [NAME] Rd in [NAME], OH.",
306155,12/19/2022 13:06,PPE - Workforce,AEP Required (Standard),"Employee removed safety eyewear to look down excavation. I reminded him to glasses back on, especially for concrete pour.",
151023,2/27/2019 9:00,Barricades around truck when required,Proper barricade,"[NAME] barricading around equiment not in place while working overhead. Spot corrected, and discussed with crew.",
250392,6/16/2022 12:44,Tree Felling - Policies,When is a rope required to be used when felling a tree?,All stop was called to have the employees to reposition the PJ on the other side of the lines to make the finale cut to release the conductor out of the line of fire.,
127409,8/2/2021 9:00,Crew audit items (Forestry),Herbicide equipment,CREW DID NOT HAVE A SPRAYER ON THE TRUCK. THEY SAID THAT IT WAS LEAKING AND THEY GACE IT TO THE GF TO REPLACE.,GF REPLACED THE SPRAYER WITH A NEW ONE ON 8 - 3 - 2021.
287349,10/15/2022 14:27,Equipment Operations,Overhead lines marked with warning signs (36in. x 36in.) for egress / ingress,The crew is receiving stone on a new access road. Trucks are crossing under a distribution line. There are no overhead line warning signs in place.,
180227,10/11/2021 9:30,PPE,"Hard hat adequate, Safety glasses adequate, Side Shields adequate, Work gloves adequate","Crewmembers were not wearing the correct PPE while working. Gloves, hard hat and glasses were missing. I addressed the issues with the crew and the violations were correct immediately.",
353959,5/23/2023 11:30,THA,Other - THA,Confined Space identified on the SIF Icons. There is no confined space associated with the tasks on the THA,
430853,1/23/2024 19:46,Housekeeping - Generation,"Cleanliness, Job site hazards, Tripping Hazards, Walking / Working Surfaces","Caustic tank area housekeeping above the RO needs improved - mops, cords, and hoses lying in path. This is above the RO. Observed inadequate housekeeping - mop left out on grating and lying against the wall. This was around the caustic area and above the RO on the second floor. Caustic tank - loading area: housekeeping needed improved: empty drums and spilled media evident. Caustic tank area - slips, trips and falls evident - hoses left out across the floor. Recommended that 2 drums need spill containment.",
478832,7/17/2024 10:49,PPE (Forestry),"Chaps adequate, Hearing protection adequate, Safety glasses adequate","RB - foreman witnessed operating chainsaw face level with no chaps, no glasses, no hearing protection creating a potential high energy mechanical SIF",Asplundh supervisor sent the individual home pending further investigation
38281,6/11/2020 12:30,Vehicle Operating Condition (Forestry),Other - Vehicle Operating Condition,"This truck has been noted many times for various issues including cracked windshield, broken weld on step on rear of truck, grill held in place with rope. The windshield has been repaired. The foreman was working on the truck heater vents when I arrived. The blower motor is turned off but the vents won't close from the engine compartment resulting in a very warm cab while driving.",We are meeting with their supervisor on the job site on [NAME] 16th and plan to address these issues with him.
444921,3/14/2024 12:24,"Live line tools, inspection, etc.",Stick wiped and inspected before use,"[NAME] failed to wipe stick off before use, coached on the expectation around cleaning sticks on the first use of the day.",
446269,3/20/2024 10:00,Housekeeping in order,"Cleanliness, Job site hazards","[NAME] greenfield construction site that was mid construction. The crew recognized the various hazards and mitigated best they could, but there was definite increased risk all around.",
235440,4/28/2022 9:00,"Did you recognize additional slip, trip, or fall hazards that had not already been recognized and mitigated? If so, please select or describe these hazards in the At-Risk notes.",Awareness of environment,Path crew was taking had small but steep embankment. Recommended crew walk around the area to a more level entrance that was only approximately 15 yards away.,
282306,9/27/2022 10:37,Work Safety Health Plan (WSHP),Other - Work Safety Health Plan (WSHP) readily available,No Porta - [NAME] available for crew use on either sides of highway 181. Discussed with Supervisor and assured they would go back to laydown yard and get trailers for use the following day. Follow - up to ensure in place.,
492972,9/9/2024 13:14,Q2 - d. Did the crew verify energy control effectiveness before starting work?,[Notes Required for At-Risk Conditions],"I had suggested that the crew take the phasing measurements on the outside of the transformer containment to avoid slips, trips or falls and to avoid congestion with underground riser cables.",
46322,7/28/2020 16:00,Complete job briefing given (Forestry),"Specific risks / hazards identified, Work procedures reviewed",Job briefing failed to discuss multiple hazards associated with work area. [NAME] had to access through a barb wire fence to get to work area and didn't have the safest path marked. [NAME] also failed to mention their procedure while multiple employees using saws at the same time in the ROW. GF made corrections and documented the 20' rule on the job briefing. Also crews were applying herbicide MPG without the proper rubber gloves being worn. It also had to be corrected on the job briefing by the GF.,
186323,11/3/2021 11:00,Appropriate work area traffic control (Forestry),Sign spacing adequate,Flagman sign too close to flagger. Traffic was backing up to the last sign. [NAME] spacing addressed with crew,
479928,7/16/2024 11:00,PPE - Workforce,"Employees wearing gloves appropriate for the hazard (e.g., cut resistant, dielectric, etc.)",During my observation I observed 2 employees cutting [NAME] tube without their gloves being worn. I asked them to put them on and explained the reasons why. I also spoke with their foreman [NAME] Fickey about this as well.,
459585,5/1/2024 13:26,FR Clothing,FR clothing sleeves down,One worker pulling new wire with gloves on but did not have FR sleeves down. I reminded him to keep his sleeves down while wearing those gloves. [NAME] agreed.,
205326,1/20/2022 13:42,Tools/Equipment/Isolation,Pre job Inspection/JSA,Observed a scaffolding that was fully erected and usable that did not have scaffold inspection tag on it to show that it had been inspected for use by a competent person.,
350022,5/11/2023 7:55,Suspended Load/Overhead Work,"Guard structures erected where needed (roads, railroads, rivers)","Guard structure placement only adequate on tension end of wire pull. Additional guard structure provides no protection, and discussed with NHPL Safety, Supt, and TCR. Additional equipment being brought over to provide guarding of single phase perpendicular distribution. Spot corrected.",Verified placement.
325230,2/9/2023 17:46,FR Clothing,FR clothing sleeves down,FR sleeves were rolled up when attempting to close in transformer fuse. Employee rolled down sleeves. Arc flash,
482610,7/19/2024 15:05,Aerial Devices - Job Briefing,"Did crew determine task assignments?, Was the job briefing site specific?, Were hazards identified?",The crew just added the new location to the briefing. It was not site specific. They went from normal tree removal to a storm tree job. They did not have any new information regarding the dangers in front of them.,Spoke to the GF. [NAME] is going to coach them up.
305348,11/10/2022 11:30,Personal Safety (Forestry),Other - Personal Safety,This was as 2 man crew and the ground man is relatively new and not a certified climber. The foreman was confident that the ground man could perform an aerial rescue if needed?,
311184,1/10/2023 9:30,Personal Safety,Other - Personal Safety,"[NAME] was being transferred from a service pole to the transformer pole leaving really long tails that had the potential to flip up into the primary. I had a conversation with the employee, he corrected and understood the concern. [NAME] was sure to maintain positive control.",
248625,6/14/2022 10:37,Housekeeping.,Rebar caps in place as needed.,Batter bards et up close to work area without rebar caps on pins. The foreman was made aware and he had them installed,
92990,4/6/2021 1:00,Correct work area traffic control,Vests worn when required,One crew member wearing bright orange t - shirt. [NAME] thought it was okay as a substitute for traffic vest.,
9104,8/7/2019 14:30,Fall protection used when required (Forestry),Worn correctly,"Bucket harness was not adjusted properly, [NAME] was ask to boom down so his harness could be adjusted.",
105838,5/13/2021 10:03,Fall protection used when required,Used appropriately,One operator did not have leg restraints properly placed and tight. Coached employee on the way it is required and the dangers of not being proper he made corrections immediately.,
474446,6/24/2024 7:00,Equipment - Tools &Equipment,Other - Equipment,"Jib that is NOT to be used due to damage. Should be tagged Out of [NAME]. Discussed with TCR and contractor expected to have removed from site. Question Training to past users, as a take - a - way for internal review by [NAME] Standards company.",
334296,3/28/2023 13:30,Equipment - Tools &Equipment,Other - Equipment,Boom truck lacking [NAME] Pin to ensure load line stays in sheave. Contacted NHPL safety rep to ensure pin installed prior to any continued use of equipment.,Follow - up to pin installed.
127889,8/6/2021 9:15,Barricades around truck when required,Respect barricade,The LCS was provided some coaching about the [NAME] members respecting the barricade ropes and not touching the trucks. One LMC had grabbed his work gloves off the truck and he also had placed his Gloves and sleeves on the back of the truck while the ropes were up. The Apprentice was coached about making sure to look at the bucket and make sure it is not in the primary / minimum approach prior to dropping the rope to access the trucks equipment.,
28134,3/10/2020 12:52,Vehicle Operating Condition,Load securement,Truck cabinets on outside of vehicle were not latched and locked to prevent opening during travel / discussed.,
131452,8/17/2021 8:25,Tree Felling - Job Briefing,Did crew determine task assignments?,"Job briefing listed tasks needed to complete the assigned task, but the job briefing does not assign individual tasks to the crew members.",
108065,5/11/2021 11:29,Fire extinguisher inspection up to date and was set off when required,Inspection up to date,Fire extinguisher annual inspection out of date. Extinguisher to be removed from vehicle and replaced.,
432167,1/30/2024 12:00,Correct work area traffic control,Appropriate signs out,[NAME] was using road work signs instead of utility work signs. I spoke with lead flagger about using the proper sign.,
479714,7/17/2024 9:50,Work Safety Health Plan (WSHP),Other - Work Safety Health Plan (WSHP) readily available,Continue to work on digital document usage. Follow up [NAME] 1st with 4 weeks to establish document ( s ) on - site for review. Safety representative working to resolve.,
480714,7/23/2024 12:14,Personal Safety,Hazard recognition,The City asked the County workers across the street to make repairs and they placed a cap on the pipe while we were on site.,
465360,5/16/2024 13:40,Equipment used properly within load and operating tolerances,"Condition, Operated within load rating","The LCS in charge of rigging the [NAME] 55 pole was not aware of the pole weight, and the operator of the Patriot 40 track digger derrick was not familiar with the Patriot 40s Safe [NAME] Load Chart. The [NAME] 55 pole can exceed the capacity of the equipment at the applied boom angle and load area distance. The Pole weight was est. 3062 lbs. The digger was having a hard time lifting the pole at the angle the boom was placed at first.",
62958,11/2/2020 9:00,Correct PIPE,"Within of date, Worn when required",All crew members were at the transformer location with no Rubber Gloves available or being used when I arrived.,
325215,2/27/2023 14:00,PPE,Safety glasses adequate,"The fleet tech routinely would remove the safety glasses from his face and placed them on his head. During the tasks he needed reminding that he had removed his safety glasses. This was discussed in greater detail at the conclusion of the observation. [NAME] was reminded to be a little more patient regarding the use of his glasses and that he could request glasses with diopters to support reading and closer examination of smaller part, when necessary.",
320145,2/9/2023 8:25,Crew audit items (Forestry),Number of working saws,* Only two working chainsaws were available between two manual trucks. [NAME] stated they would trade off throughout the day and request that necessary repairs would be made to ensure additional chainsaws were available if needed not only for production but for emergency reasons.,
49274,8/19/2020 15:04,Proper grounding utilized,Grounds installed in proper order,"LMA went up and untied burnt off arm and placed phase on top of pole before Installing grounds. [NAME] had them with him, rushing and did that before grounding.",
471042,6/17/2024 11:30,Appropriate work area traffic control (Forestry),Appropriate signs out,"[NAME] ahead sign was set out behind truck near work site, however, that was in right of way in forest. Sign should have been placed near entrance to dirt road that led down to the crew in case emergency responders were called to work site.",
283688,9/21/2022 16:21,Correct work area traffic control,Other - Work Area Protection,[NAME] area was set up great. But flaggers were not engaged in watching for hazards. They took for granted that because it was in a parking lot they could relax,Talked to the crew about staying engaged in a busy parking lot
344271,4/26/2023 10:58,Unattended equipment properly stowed,Chocks in use as necessary,Digger and Bucket truck that are parked on - site did not have proper wheel chokes in place or being used properly,
454429,4/17/2024 10:18,Housekeeping - Generation,"Tripping Hazards, Walking / Working Surfaces","U3 [NAME] End: Area through passageway on floor 1 has protruding bolts sticking up 1 to 2 above concrete surface. This area is south of Global s breakroom. And, the bolt studs are found on each side of the doorway and could be slip, trip, fall potentials. Notified and advised plant with power point of shared findings, communicated, and placed on corrective issue tracking sheet.",
374700,7/20/2023 9:33,Walking and Working areas,Other - Walking and Working areas,[NAME] was using jack hammer periodically and have hearing protection sign or extra hearing protection for visitors,
360258,6/5/2023 9:21,Pre-Job Briefing,Other - Pre-Job Briefing,The crew has not performed a Pre Job Briefing. They shared an Emergency Action Plan Document with me. They were not aware of the Pre Job Briefing Requirement. I shared the location of the Pre Job Briefing in VERO with the crew. The foreman took notes and will relay the information to the management team. The crew has excellent attitudes and were open to coaching.,
36074,5/29/2020 9:30,Correct PIPE,"Rebrief when changing glove class, Two pair of gloves in the bucket",Employees change gloves while a loft with no re - brief. Employees took class 0 And class two gloves and sleeves a loft at the same time.,
141588,11/8/2019 8:00,Cover up activities,"Adequate amount of cover up used, Other - Cover up",[NAME] was using hard cover on the pole. The hard cover did not cover the pole adequately. [NAME] addressed the issue when asked. the crew decided to use rubber blankets to cover the portion of the pole the hard coer would not cover. crew took the suggestion very well.,
87563,2/18/2021 15:06,PPE,"Ice cleats, Personal voltage detector",A few of the employees didnt have ice cleats. The LCS gave his pair to one of the linemen and I rounded up another pair for them the next day. None of the team members had their PVD on,
37929,6/8/2020 11:30,Complete job briefing given,Communicate understanding of tasks,"Job description indicated bucket work, flagging, and chipping brush, however, the [NAME] Procedures only had initials and no assignment.",
470589,4/9/2024 10:29,Complete job briefing given,"Communicate understanding of tasks, High energy hazards discussed and mitigated",[NAME] Energy Hazards and Icons not documented or utilized on job brief. Discussed with crew the importance of identifying the [NAME] Energy Hazards and how the icons can assist them with identifying and mitigating those hazards. AEP S & H [NAME] 1. 06,
229894,4/14/2022 9:20,Fire extinguisher inspection up to date and was set off when required,Inspection up to date,No annual inspection on extinguisher. Informed driver and he will get a new one at service center soon.,
391004,9/6/2023 12:57,Excavations - Telecom,Other - Excavations - Telecom - Pressure,Coached crew on the importance of covering an open hole with plywood and writing hole on it. They had plywood and snow fence in place.,
422252,12/15/2023 14:51,THA,"Other - THA, THA lists step- by-step plan","Disregarded PJB and THA plan by not donning their PPE. We plan our work and work our plan to avoid any unsafe act. Theres a reason as to why we conduct these THAs and PJBs. We must also lead by example as supervisors, supervisor providing coverage tends to wear his designer glasses instead of the proper z87 safety glasses as required.",
405867,10/20/2023 12:00,Equipment Operations near Energized Lines,Equipment grounded,"[NAME] in use was not grounded. Aerial devices shall be grounded when in use. Grounding shall be applied to a system ground conductor such as station equipment ground, structure ground, or a grounded structure. Article 10. 4. 3. 1, AEP Transmission 2020 Contractor Safety Handbook",
78397,2/12/2021 11:00,Complete job briefing given,"All members of team present, Communicate understanding of tasks",Job briefing conducted in a hurry due to extreme cold and outage situation. Talked with foreman about the need to have a quality briefing no matter the conditions.,
438291,2/21/2024 14:00,Appropriate work area traffic control (Forestry),Cones compliant,Cones were good by vehicle but was not using any drop zone cones when there was a climber trimming a tree.,
424049,12/19/2023 10:35,THA,Hazards and Mitigation Controls Identified,Encouraged foreman to further discuss and document hazards associated with rotating equipment ( task was installing 18 guy anchors at Str. 2 ),
398853,9/27/2023 10:23,THA,THA lists step- by-step plan,The crew used the crane to remove rings from foundations and are cleaning up bolts on the foundation. This task was not listed on the THA.,A conversation was held with the crew and the THA was updated.
472286,6/20/2024 13:30,Safe / At-Risk Behaviors Observed,Recognized At-Risk behaviors (In the comment explained how you discussed with the individual and coached them on why it is important),"One of the employees did not have his forks tilted back far enough and had the transformer on the end of the forks, while also turning before he lowered the load. Stopped the job and asked if a JSA had been performed before starting the job. Employees stated they had done a verbal JSA, but had failed to talk about the wet pallets and the need to tilt forks back and to lower forks before turning.",
111640,6/9/2021 14:37,Tools and equipment used correctly (Forestry),Adequate Condition,chipper tire showing cord on driver side. GF present during audit and was informed. he said he would work on getting tire fixed.,
302074,11/18/2022 21:30,Vehicle Set-up Correct,Location and set up,[NAME] had to make multiple setups to be able to properly dig hole. Letting a young crew member make small navigable mistakes will enhance their critical thinking in the future.,
459333,4/30/2024 16:02,Vehicle Set-up Correct,Other - Vehicle Set-up,A crew had their outriggers setup on a curb with potential of the outrigger slipping or the curb giving out. Reminded the crews to setup outriggers on firm ground. This also goes against the manufacturer guidelines of improper setup of equipment.,
298936,11/23/2022 14:05,Complete job briefing given (Forestry),"911 Location / Hospital Info, Specific risks - hazards identified, Understanding of all key topics of this job","* Wrong hospital was listed on the job briefing - after hours clinic was listed * [NAME] failed to list all of the associated hazards, mitigations and high energy hazards in relation to the tasks at hand",
362296,6/13/2023 9:30,PPE (Forestry),Work gloves adequate,Employee working in the bucket did not have gloves on his hands while using a pruning saw. Coached on site and GF notified.,
121578,7/15/2021 10:00,Each employee knows their job assignments as stated on the job briefing - (Ask),[Notes Required for At-Risk Conditions],When asked each employee stated different job tasks to be performed than what was documented on the job briefing.,
76938,2/4/2021 13:10,Personal Safety (Forestry),"Line of fire, Other - Personal Safety, Posture and positioning",ground hand went to truck and grabbed pruners off while bucket operator was working near the lines. GF present and corrected action.,
44183,7/21/2020 14:03,Correct PIPE,"Care, Condition, and Storage, Other - IPE, Rebrief when changing glove class","Lineman in bucket came down, changed gloves - not a documented re - brief. Lineman did not have but one sleeve strap on and he wore it behind his head. I asked him to add a second strap and wear them appropriately. [NAME] agreed. Folded blanket and stuck in bin.",
338613,4/5/2023 8:25,Equipment Operations,"Other - Equipment - Motion, Safety devices in use (seat belts, back-up alarm, cameras, horn, mirrors, lights, etc.)","A crew member operating a dump truck was observed not wearing a seatbelt. A site truck was observed parked, pulled nose in toward a trailer. A conversation was held with crew members about wearing seatbelts and using the pull through method or backing into a parking spot upon arrival. We reviewed AEP T & Cs together.",
318186,2/1/2023 14:22,THA,"Hazards and Mitigation Controls Identified, Hazards and mitigation controls identified (THA), THA lists step- by-step plan",THA missing task steps / hazards / mitigations. Tools being used were not listed or talked about on the THA.,Spoke with [NAME] foreman [NAME] about the issues.
285513,10/8/2022 8:37,Housekeeping.,Other - Housekeeping:,Observed debris from right - of way restoration piled near and blocking access to porta - pot creating a tripping hazard.,Contacted contractor and the situation was corrected.
255559,7/1/2022 10:17,Pre-Job Briefing,"Hazards associated with the job identified, Special precautions identified, Work procedures involved reviewed","THA did not include the hot work permit being completed [NAME] to beginning the task, therefore the task and risks / hazards were not identified, nor planned mitigation involved with the task. This must be covered in the THA, or it will not be addressed in the tailboard or job briefing","[NAME] received the coaching very well, and admitted that they had just forgotten to include it. They would re focus, and be more diligent in their job / task instructions."
295333,11/10/2022 10:30,Vehicle Operating Condition,Other - Vehicle Operating Condition,Stressed the importance of equipment pre - flight and post flight inspections to ensure that the trucks and equipment are functioning as they should be and the no hazard exists with the equipment.,
56760,9/4/2020 15:00,Equipment used properly within load and operating tolerances,Other - Equipment used properly,The winch line was run sideways from the dolly frame instead of over the dolly. They were using it to pull up a span of primary in a side loading pull against the winch line and the boom of the bucket. I explained why and how they were damaging the winch line and possibly the rotation gears of the bucket.,
301116,12/2/2022 9:16,Wire Pulling Operations,3-1 distance maintained to first and last structure,Conductor end of pull did not meet 3: 1 ratio; crew not aware of submitting documentation for Engineer approval.,"TCR subsequently contacted Engineer. Top phase to be pulled in with slightly more sag, TCR recommended the use of larger size dolly on take of structure."
297630,11/9/2022 22:40,Appropriate work area traffic control (Forestry),"Cones compliant, Other - Work Area Protection",[NAME] had set up 3 cones at entry into property half way to house at a cattle guard wheee the homeowner could not drive thru without getting out to move cones to get thru. Customer complied with the cones and did not move and drove around 2 pastures over to get to house and her husband called a little upset that they left cones that far back at entrance at a location with no traffic.,I did discuss with customer that they had actually moved up 2 more locations to trim 2 other locations [NAME] understood and crew could have walked down and moved cones at entry without this happening. All good Better safe than sorry.
446263,3/18/2024 9:00,JHA-JSA Generation,"All employee briefed on potential Hazards, Discussion include overexertion hazards for the task being performed","Overexertion's included repetitive movements. Used multiple employees to share workload. Other potential hazards discussed were pinch points, slip, trip, & fall, and fall from elevation.",
301930,12/5/2022 12:38,Proper usage of pole jack,Approved tool,[NAME] used the boom to remove the pole butt because the old pole was on a hill and they felt it was more dangerous to use the pole jack on a steep slope.,
218321,3/8/2022 10:22,Tools/Equipment/Isolation,Uses Right Tools/Equipment,Employee was holding grinder with one hand and holding metal with other. Two hands on a grinder is required at all times.,Immediately stopped gentleman and corrected him.
226570,3/17/2022 12:30,All applicable work procedures are followed,Other - Procedures,Substation gate was left open and unguarded when I arrived. I brought this up to a couple of workers and they closed the gate. They were understanding and in agreement about the importance of keeping it closed or guarded.,
152350,2/27/2019 9:30,Tools and equipment used correctly,Approved tool,Employee was using an impact tool with a regular socket. The socket needed to be an approved impact rated socket. Addressed and changed.,
237484,5/10/2022 11:58,PPE - Generation,Protect Feet,"Clams stopped the drains up. Employees wore water boots, and cleared the drained twice during the task.",
40554,6/24/2020 15:00,Barricades around truck when required,Proper barricade,"A barricade was used, but with pieces of old white rope. [NAME] stated the company has the correct rope and signs, but hasnt distributed it out yet.",
185619,11/1/2021 10:00,Cover up activities,Adequate amount of cover up used,One hose was used to cover neutral in any given direction. Attachment points were left uncovered. When attempting to pass over system neutral one hose appeared not to be enough.,
33985,5/13/2020 9:30,Vehicle Set-up Correct (Forestry),"Location and set up, Other - Vehicle Set-up, Wheel chocks used","Truck was improperly set up under three phase, wheel chock not down, truck should never have been moved with boom not cradled in proper location.",
367192,6/28/2023 12:58,Equipment Operations,Designated Spotter as needed (maintaining adequate clearance),[NAME] was backing up a pickup to move to new location and no use of a spotter at all after I stopped them they appointed one.,
